run,camera,previous_frame,frame,tracker_gap_ms,pts_gap_ms,previous_emit_ms,other_camera_tracker_frames,other_cameras
controlled,06e9e5b9,1423,1424,291.680003,40.003715,2.165278,25,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""d1f37ed1"": 1}"
controlled,d1f37ed1,1431,1432,290.01556,40.000538,1.928003,25,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""06e9e5b9"": 1}"
controlled,e0606b55,1471,1472,280.261139,39.996695,2.786807,34,"{""c7e22c1f"": 8, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 7, ""06e9e5b9"": 7}"
controlled,d1f37ed1,1479,1480,294.772734,40.008987,1.160419,26,"{""c7e22c1f"": 7, ""b1269e28"": 8, ""1ac2ffac"": 8, ""e0606b55"": 2, ""06e9e5b9"": 1}"
controlled,06e9e5b9,1471,1472,292.673197,40.000675,1.276797,26,"{""c7e22c1f"": 7, ""b1269e28"": 8, ""1ac2ffac"": 8, ""e0606b55"": 2, ""d1f37ed1"": 1}"
controlled,e0606b55,1519,1520,284.649375,40.002285,0.707435,34,"{""c7e22c1f"": 8, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 7, ""06e9e5b9"": 7}"
controlled,06e9e5b9,1519,1520,289.776776,39.999957,1.212684,25,"{""c7e22c1f"": 8, ""b1269e28"": 7, ""1ac2ffac"": 7, ""e0606b55"": 2, ""d1f37ed1"": 1}"
controlled,d1f37ed1,1527,1528,292.341252,39.991424,1.105841,25,"{""c7e22c1f"": 8, ""b1269e28"": 7, ""1ac2ffac"": 7, ""e0606b55"": 2, ""06e9e5b9"": 1}"
controlled,e0606b55,1566,1567,264.547152,40.000171,0.798992,28,"{""c7e22c1f"": 7, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 6, ""06e9e5b9"": 3}"
controlled,d1f37ed1,1575,1576,273.843589,39.993044,1.028553,24,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""06e9e5b9"": 0}"
