camera,epoch_ms,interval_ms,framesDecoded,framesDropped,freezeCount,totalFreezesDuration,packetsLost,jitterBufferDelay,jitterBufferEmittedCount,decoded_fps,jitter_buffer_ms
c7e22c1f,1790072105707,1011.66796875,25,0,0,0,0,0.517593999999999,25,24.711665064269635,20.70375999999996
b5e8f409,1790072105707,1011.6650390625,20,0,0,0.0,0,0.8479110000000034,20,19.769389301555584,42.39555000000017
b1269e28,1790072106720,1012.833984375,20,0,0,0,0,1.616388999999998,20,19.746572793310847,80.8194499999999
1ac2ffac,1790072106720,1013.0361328125,25,0,0,0,0,0.5414260000000013,25,24.678290527103222,21.657040000000052
d1f37ed1,1790072106720,1013.080810546875,25,0,0,0,0,0.5488469999999985,25,24.67720219328274,21.95387999999994
06e9e5b9,1790072106720,1013.123046875,25,0,0,0,0,0.5601489999999991,25,24.67617341952001,22.405959999999965
e0606b55,1790072106720,1013.114013671875,25,0,0,0,0,0.5504459999999973,25,24.676393439067503,22.017839999999893
c7e22c1f,1790072106720,1013.153076171875,25,0,0,0,0,0.4867290000000004,25,24.67544203138649,19.469160000000016
b5e8f409,1790072106720,1013.2578125,20,0,0,0.0,0,0.8687219999999982,20,19.738313145253937,43.43609999999991
b1269e28,1790072107733,1013.15283203125,20,0,0,0,0,1.783335000000001,20,19.740358381965333,89.16675000000005
1ac2ffac,1790072107733,1012.992919921875,26,0,0,0,0,0.6056600000000003,26,25.666516999946253,23.294615384615398
d1f37ed1,1790072107733,1012.95703125,26,0,0,0,0,0.5611280000000001,26,25.667426354616165,21.581846153846154
06e9e5b9,1790072107733,1012.93798828125,26,0,0,0,0,0.5296230000000008,26,25.667908895505754,20.370115384615417
e0606b55,1790072107733,1012.926025390625,26,0,0,0,0,0.5414840000000005,26,25.66821203944617,20.82630769230771
c7e22c1f,1790072107733,1012.906005859375,26,0,0,0,0,0.5298990000000003,26,25.668719357568566,20.380730769230784
b5e8f409,1790072107733,1012.84716796875,18,0,0,0.0,0,0.7818070000000006,18,17.771684188147294,43.43372222222226
b1269e28,1790072108754,1021.419189453125,21,0,0,0,0,1.6987629999999996,21,20.559629402736743,80.89347619047616
1ac2ffac,1790072108754,1021.406982421875,26,0,0,0,0,0.5438599999999987,26,25.455083475492767,20.917692307692256
d1f37ed1,1790072108754,1021.4150390625,25,0,0,0,0,0.5412500000000016,25,24.47584874307912,21.650000000000063
06e9e5b9,1790072108754,1021.378173828125,25,0,0,0,0,0.5376830000000012,25,24.4767321650315,21.50732000000005
e0606b55,1790072108754,1021.35205078125,25,0,0,0,0,0.5459190000000014,25,24.47735820462402,21.836760000000055
c7e22c1f,1790072108754,1021.33203125,25,0,0,0,0,0.46307999999999794,25,24.477837994959096,18.523199999999918
b5e8f409,1790072108754,1021.325927734375,23,0,1,0.21900000000000003,0,0.9554340000000039,23,22.519745534142366,41.54060869565234
b1269e28,1790072109765,1010.808837890625,20,0,0,0,0,1.8623040000000017,20,19.78613487564709,93.11520000000009
1ac2ffac,1790072109765,1010.76904296875,24,0,0,0,0,0.4054060000000028,24,23.744296649122848,16.891916666666784
d1f37ed1,1790072109765,1010.739013671875,25,0,0,0,0,0.5401109999999996,25,24.73437718524237,21.604439999999983
06e9e5b9,1790072109765,1010.73779296875,25,0,0,0,0,0.5383269999999989,25,24.734407057808465,21.533079999999956
e0606b55,1790072109765,1010.72607421875,25,0,0,0,0,0.556204000000001,25,24.734693838114328,22.248160000000045
