camera,frame,epoch_ms,receipt_ns,targets,masks,inference_ms,queue_wait_ms,ipc_out_ms,parent_queue_ms,emit_client_ms,publish_client_ms,packet_gap_ms
1ac2ffac,29,1790072084984,637721997279409,1,0,161.1,31.7,0.160609,1.065516,1.879363,0.653238,37.562034
c7e22c1f,36,1790072084989,637722002995803,3,1,20.7,43,0.258068,2.718642,4.117943,1.141233,27.457061
b1269e28,23,1790072085017,637722030031436,6,3,109.4,2.9,0.347608,4.321516,7.216444,2.54732,47.540528
e0606b55,26,1790072085017,637722030721685,2,1,26,9.2,0.182127,4.777123,6.99547,2.03622,65.664267
06e9e5b9,24,1790072085017,637722030953387,7,0,233.9,71.4,0.102899,3.574122,5.690154,2.013133,60.906132
d1f37ed1,24,1790072085021,637722034645028,1,0,9.1,20.6,0.13775,5.670205,6.413747,0.605792,64.515185
c7e22c1f,37,1790072085037,637722050631555,3,1,20.7,43,0.372891,4.023104,5.666842,1.270847,47.635752
d1f37ed1,25,1790072085037,637722050737869,1,0,9.1,20.6,0.144535,2.258047,3.531749,1.129167,16.092841
06e9e5b9,25,1790072085042,637722055361597,7,0,233.9,71.4,0.104789,4.733037,5.486297,0.648471,24.40821
1ac2ffac,30,1790072085042,637722055421635,1,0,161.1,31.7,0.146283,2.459975,3.253224,0.646966,58.142226
b1269e28,24,1790072085049,637722062129596,6,3,109.4,2.9,0.377264,3.872301,6.482743,2.233178,32.09816
e0606b55,27,1790072085054,637722067528438,2,1,37.5,34.3,0.313855,2.506537,4.286663,1.466271,36.806753
1ac2ffac,31,1790072085064,637722077049402,1,0,161.1,31.7,0.116289,2.270365,2.934746,0.548092,21.627767
c7e22c1f,38,1790072085074,637722087773691,3,1,38.9,62.3,0.304132,1.847712,3.204676,1.052832,37.142136
d1f37ed1,26,1790072085080,637722093382950,1,0,9.1,20.6,0.125501,5.041228,6.51406,1.347331,42.645081
e0606b55,28,1790072085080,637722093468323,2,1,37.5,34.3,0.219666,1.437175,2.996896,1.340055,25.939885
06e9e5b9,26,1790072085084,637722098026448,7,0,233.9,71.4,0.175943,2.930867,3.720705,0.613895,42.664851
1ac2ffac,32,1790072085110,637722123502820,1,0,161.1,31.7,0.160268,1.461235,2.316818,0.695315,46.453418
c7e22c1f,39,1790072085117,637722130587353,3,1,38.9,62.3,0.418639,4.864628,7.903214,2.619947,42.813662
