kind,camera,camera_name,tracker_objects,targets,decoder_objects,metric,n,mean_ms,p50_ms,p95_ms,p99_ms,max_ms
frame,1ac2ffac,Cam Dahua Ch2 Fixed,0,1,1,queue_wait_ms,48,21.8062,18.4528,66.4395,89.4827,89.4827
frame,1ac2ffac,Cam Dahua Ch2 Fixed,0,1,1,segment_wall_ms,48,24.4053,24.199,33.855,36.5788,36.5788
frame,1ac2ffac,Cam Dahua Ch2 Fixed,0,1,1,t0_t1_ms,48,22.6388,19.0075,67.2646,89.9418,89.9418
frame,1ac2ffac,Cam Dahua Ch2 Fixed,0,1,1,t1_t2_last_ms,48,24.2809,23.7459,33.8792,36.5179,36.5179
frame,1ac2ffac,Cam Dahua Ch2 Fixed,0,1,1,tracker_to_rgba_ms,48,0.3264,0.2448,0.7308,1.0845,1.0845
frame,1ac2ffac,Cam Dahua Ch2 Fixed,0,,,copy_wall_ms,65,0.4856,0.3533,1.3393,1.6656,1.6656
frame,1ac2ffac,Cam Dahua Ch2 Fixed,0,,,tracker_to_rgba_ms,1222,0.367,0.2523,1.123,1.6573,4.7819
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,1,0,copy_wall_ms,129,0.4815,0.3525,1.3849,1.6832,1.7027
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,1,0,encoder_cuda_ms,129,8.3327,8.0105,11.6116,12.5813,14.7178
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,1,0,queue_wait_ms,129,26.5156,21.3336,65.6481,83.6661,109.2844
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,1,0,segment_wall_ms,129,5.8111,5.0398,10.5203,12.1274,12.1359
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,1,0,t0_t1_ms,129,27.4504,22.6593,66.4553,84.5871,110.0127
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,1,0,tracker_to_rgba_ms,129,0.3296,0.2395,0.8464,1.2972,1.8231
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,1,1,copy_wall_ms,102,0.5864,0.3612,1.8839,2.1973,2.2474
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,1,1,decoder_cuda_ms,102,9.672,8.5407,17.451,19.4054,21.0442
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,1,1,encoder_cuda_ms,102,8.7002,8.7604,11.43,12.4905,13.2377
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,1,1,identity_verify_cuda_ms,99,1.5627,1.257,3.5679,5.9738,5.9738
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,1,1,memory_encode_cuda_ms,1,4.0756,4.0756,4.0756,4.0756,4.0756
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,1,1,polygon_postprocess_host_ms,1,2.6693,2.6693,2.6693,2.6693,2.6693
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,1,1,queue_wait_ms,102,23.486,18.7057,51.3773,105.7051,112.7101
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,1,1,segment_wall_ms,102,22.962,22.0778,32.2408,34.6147,37.0857
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,1,1,t0_t1_ms,102,24.5665,19.6252,53.9839,106.4627,115.4716
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,1,1,t1_t2_last_ms,102,19.4084,18.5201,28.2947,32.262,33.1734
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,1,1,tracker_to_rgba_ms,102,0.3684,0.2483,0.8071,1.3581,2.687
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,2,1,copy_wall_ms,14,0.3597,0.2815,0.793,0.793,0.793
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,2,1,decoder_cuda_ms,14,14.3912,13.2175,20.9649,20.9649,20.9649
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,2,1,encoder_cuda_ms,14,8.3285,7.98,11.0127,11.0127,11.0127
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,2,1,queue_wait_ms,14,18.8205,10.3626,60.3488,60.3488,60.3488
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,2,1,segment_wall_ms,14,23.8843,22.3557,32.1509,32.1509,32.1509
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,2,1,t0_t1_ms,14,19.6771,11.1958,61.0285,61.0285,61.0285
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,2,1,t1_t2_last_ms,14,23.7176,22.2428,32.1183,32.1183,32.1183
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,2,1,tracker_to_rgba_ms,14,0.3817,0.2599,1.5682,1.5682,1.5682
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,2,2,copy_wall_ms,14,0.4597,0.3291,1.2109,1.2109,1.2109
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,2,2,decoder_cuda_ms,14,24.213,26.2103,33.1661,33.1661,33.1661
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,2,2,encoder_cuda_ms,14,9.4011,9.3162,13.6852,13.6852,13.6852
