camera,frame,epoch_ms,receipt_ns,targets,masks,inference_ms,queue_wait_ms,ipc_out_ms,parent_queue_ms,emit_client_ms,publish_client_ms,packet_gap_ms
06e9e5b9,4,1790073014201,638651214089040,,,,,0.060009,4.02935,4.662409,0.57305,25.073894
b1269e28,8,1790073014206,638651219317835,,,,,0.095424,2.229912,2.930358,0.605022,29.734258
1ac2ffac,10,1790073014221,638651234966276,1,0,42.5,96.6,0.148626,0.277575,1.301741,0.87554,31.396683
e0606b55,32,1790073014238,638651251128026,2,1,48.3,49.3,0.263774,2.547447,4.483024,1.671803,40.895726
c7e22c1f,32,1790073014238,638651251300276,3,0,10,11.7,0.069893,1.850962,3.425776,1.504921,41.388227
d1f37ed1,5,1790073014242,638651256006617,1,0,58.8,20.3,0.347347,5.173314,6.500904,0.980243,45.67699
06e9e5b9,5,1790073014243,638651256118800,,,,,0.063918,3.651879,4.721648,1.005851,42.02976
b1269e28,9,1790073014243,638651256415936,4,4,397,0.7,0.058951,2.323376,3.632221,1.249894,37.098101
1ac2ffac,11,1790073014263,638651276613685,1,0,42.5,96.6,0.169546,0.582305,1.791146,1.039295,41.647409
c7e22c1f,33,1790073014268,638651281521423,3,0,10,11.7,0.114187,4.837945,5.644492,0.69236,30.221147
d1f37ed1,6,1790073014279,638651292033821,1,0,58.8,20.3,0.15333,2.17427,3.335459,1.007859,36.027204
e0606b55,33,1790073014285,638651298867456,2,1,46.4,58.6,0.238645,1.595943,4.486329,2.651741,47.73943
06e9e5b9,6,1790073014286,638651299091282,,,,,0.110167,0.751812,3.420488,2.558509,42.972482
1ac2ffac,12,1790073014300,638651313402414,1,0,42.5,96.6,0.095923,0.333386,1.098832,0.669523,36.788729
06e9e5b9,7,1790073014317,638651330351431,,,,,0.222871,2.527461,5.086912,2.33658,31.260149
c7e22c1f,34,1790073014317,638651330494794,3,0,10,11.7,0.097723,2.038225,3.742373,1.606425,48.973371
e0606b55,34,1790073014322,638651335529039,2,1,46.4,58.6,0.248486,4.344797,6.108804,1.515521,36.661583
d1f37ed1,7,1790073014322,638651335688452,1,0,58.8,20.3,0.117175,0.387863,1.956027,1.450989,43.654631
b1269e28,10,1790073014338,638651351792129,4,4,397,0.7,0.31906,2.958979,5.566762,2.288723,95.376193
c7e22c1f,35,1790073014353,638651366420023,3,0,10,11.7,0.234274,1.097606,2.092505,0.760625,35.925229
1ac2ffac,13,1790073014360,638651373073637,1,0,42.5,96.6,0.11133,4.46196,6.816022,2.242732,59.671223
d1f37ed1,8,1790073014360,638651373177431,1,0,58.8,20.3,0.157515,2.290236,4.716047,2.268296,37.488979
06e9e5b9,8,1790073014360,638651373273158,,,,,0.251024,1.145594,3.721761,2.325143,42.921727
e0606b55,35,1790073014365,638651378251191,2,1,46.4,58.6,0.295073,4.923921,6.551835,1.332841,42.722152
b1269e28,11,1790073014378,638651390972394,4,4,397,0.7,0.600395,3.474254,7.711284,3.636635,39.180265
1ac2ffac,14,1790073014386,638651399888790,1,0,42.5,96.6,0.149489,3.054401,3.962099,0.758209,26.815153
c7e22c1f,36,1790073014408,638651421726427,3,0,10,11.7,0.140904,4.637907,12.079858,7.301047,55.306404
d1f37ed1,9,1790073014408,638651421841179,1,0,58.8,20.3,0.08074,2.955612,10.363283,7.326931,48.663748
06e9e5b9,9,1790073014408,638651421941829,,,,,0.271554,0.209274,7.871687,7.390859,48.668671
e0606b55,36,1790073014409,638651422625308,2,1,46.4,58.6,0.355104,3.889262,6.117821,1.873455,44.374117
b1269e28,12,1790073014418,638651431236107,8,4,118.8,30.9,0.937842,1.690115,7.707959,5.080002,40.263713
1ac2ffac,15,1790073014421,638651434722659,1,0,42.5,96.6,0.19354,0.041081,0.95895,0.724329,34.833869
c7e22c1f,37,1790073014426,638651439957641,3,0,10,11.7,0.107172,3.287928,4.147997,0.752897,18.231214
d1f37ed1,10,1790073014437,638651450427271,1,0,58.8,20.3,0.141806,0.550814,1.658485,0.965865,28.586092
06e9e5b9,10,1790073014445,638651458045257,,,,,0.371435,2.344274,6.093002,3.377293,36.103428
e0606b55,37,1790073014451,638651464079011,3,1,43.6,31,0.127994,2.747803,5.089991,2.214194,41.453703
b1269e28,13,1790073014452,638651465182395,8,4,118.8,30.9,0.405039,1.481946,5.049004,3.162019,33.946288
1ac2ffac,16,1790073014461,638651474716007,1,0,42.5,96.6,0.195557,0.563782,1.610294,0.850955,39.993348
d1f37ed1,11,1790073014472,638651485055426,1,0,58.8,20.3,0.140825,2.525113,3.528619,0.862681,34.628155
c7e22c1f,38,1790073014480,638651493486580,3,0,10,11.7,0.14959,2.560658,6.806549,4.096301,53.528939
06e9e5b9,11,1790073014480,638651493920248,6,3,250.8,25.1,0.532866,1.237435,6.180544,4.410243,35.874991
e0606b55,38,1790073014484,638651497324519,3,1,43.6,31,1.77849,4.899808,7.158843,0.480545,33.245508
1ac2ffac,17,1790073014499,638651512976174,1,0,42.5,96.6,0.226904,0.22218,1.212749,0.763665,38.260167
c7e22c1f,39,1790073014510,638651523626402,3,0,10,11.7,0.202531,4.60641,5.932276,1.123335,30.139822
d1f37ed1,12,1790073014515,638651528760387,1,0,58.8,20.3,0.152451,4.199043,5.288573,0.937079,43.704961
06e9e5b9,12,1790073014525,638651538373829,6,3,250.8,25.1,0.434825,3.445662,8.990951,5.110464,44.453581
e0606b55,39,1790073014526,638651539880970,3,1,43.6,31,0.132255,4.778408,9.660898,4.750235,42.556451
b1269e28,14,1790073014527,638651540175704,8,4,118.8,30.9,0.608767,2.045612,7.558825,4.904446,74.993309
1ac2ffac,18,1790073014551,638651564959367,1,0,42.5,96.6,0.149297,4.580859,6.78209,2.051934,51.983193
c7e22c1f,40,1790073014552,638651565397884,3,1,79.5,48.2,0.216956,3.284651,5.847824,2.346217,41.771482
d1f37ed1,13,1790073014572,638651585571915,1,0,24.5,14,0.15513,4.600837,6.298061,1.542094,56.811528
e0606b55,40,1790073014581,638651594155849,1,0,18.7,19,0.115895,3.743091,8.72612,4.867134,54.274879
06e9e5b9,13,1790073014583,638651596383616,6,3,250.8,25.1,0.284047,2.313173,9.56614,6.96892,58.009787
b1269e28,15,1790073014583,638651596637583,8,4,102.8,23.9,0.445147,2.4854,8.170579,5.240032,56.461879
1ac2ffac,19,1790073014597,638651610233149,1,0,42.5,96.6,0.161478,2.423703,3.883534,1.298353,45.273782
06e9e5b9,14,1790073014604,638651617844575,6,3,250.8,25.1,0.327364,4.718803,8.736737,3.69057,21.460959
d1f37ed1,14,1790073014604,638651618056336,1,0,24.5,14,0.213465,4.850327,7.327798,2.264006,32.484421
c7e22c1f,42,1790073014605,638651618189836,3,1,79.5,48.2,0.209658,2.541213,5.078808,2.327937,52.791952
e0606b55,41,1790073014612,638651625220856,1,0,18.7,19,2.036615,5.025825,11.077879,4.015439,31.065007
b1269e28,16,1790073014614,638651627298523,8,4,102.8,23.9,0.470733,4.840544,11.290468,5.979191,30.66094
c7e22c1f,43,1790073014614,638651627518958,3,1,79.5,48.2,0.263894,5.435651,9.054714,3.355169,9.329122
1ac2ffac,20,1790073014622,638651635410922,1,0,42.5,96.6,0.155965,0.493391,1.445288,0.795932,25.177773
d1f37ed1,15,1790073014633,638651646100847,1,0,24.5,14,0.130355,2.783449,4.125023,1.211219,28.044511
e0606b55,42,1790073014633,638651646235404,1,0,18.7,19,0.077547,1.552222,2.843948,1.214179,21.014548
