camera,epoch_ms,interval_ms,framesDecoded,framesDropped,freezeCount,totalFreezesDuration,packetsLost,jitterBufferDelay,jitterBufferEmittedCount,decoded_fps,jitter_buffer_ms
b1269e28,1790073136178,1014.3740234375,20,0,0,0.0,0,1.8425960000000146,20,19.71659322684961,92.12980000000073
1ac2ffac,1790073136178,1014.4580078125,25,0,0,0.0,0,0.5092929999999996,25,24.64370117587035,20.371719999999982
d1f37ed1,1790073136178,1063.664794921875,27,0,0,0,0,0.5683719999999965,27,25.383936865169183,21.050814814814686
06e9e5b9,1790073136178,1062.35888671875,27,0,0,0,0,0.5920950000000005,27,25.41514015418408,21.929444444444464
e0606b55,1790073136178,1060.9169921875,27,0,0,0,0,0.5982450000000057,27,25.44968192500039,22.157222222222433
c7e22c1f,1790073136178,1059.425048828125,27,0,0,0,0,0.5213930000000033,27,25.485521632574052,19.310851851851975
b5e8f409,1790073136178,1058.095947265625,22,0,0,0.0,0,0.8940570000000037,22,20.7920652723917,40.63895454545471
b1269e28,1790073137198,1019.2529296875,21,0,0,0.0,0,1.8344089999999937,21,20.60332562049985,87.35280952380923
1ac2ffac,1790073137198,1019.263916015625,25,0,0,0.0,0,0.5928989999999885,25,24.52750421865887,23.71595999999954
d1f37ed1,1790073137198,1019.321044921875,25,0,0,0,0,0.5446599999999933,25,24.5261295492198,21.78639999999973
06e9e5b9,1790073137198,1019.373046875,25,0,0,0,0,0.5404240000000016,25,24.524878381511307,21.616960000000063
e0606b55,1790073137198,1019.406005859375,25,0,0,0,0,0.5666919999999891,25,24.52408545398417,22.667679999999564
c7e22c1f,1790073137198,1019.430908203125,25,0,0,0,0,0.4967019999999991,25,24.523486387189926,19.868079999999964
b5e8f409,1790073137198,1019.43994140625,20,0,0,0.0,0,0.7636399999999952,20,19.61861526870462,38.18199999999976
b1269e28,1790073138212,1014.39501953125,20,0,0,0.0,0,1.6984039999999823,20,19.716185129972306,84.92019999999911
1ac2ffac,1790073138212,1014.322998046875,26,0,0,0.0,0,0.6103640000000041,26,25.6328605878642,23.47553846153862
d1f37ed1,1790073138212,1014.26904296875,26,0,0,0,0,0.5308500000000009,26,25.634224154074936,20.417307692307727
06e9e5b9,1790073138212,1014.305908203125,26,0,0,0,0,0.5372940000000028,26,25.6332924709665,20.665153846153956
e0606b55,1790073138212,1014.286865234375,26,0,0,0,0,0.5756209999999982,26,25.633773729281295,22.13926923076916
c7e22c1f,1790073138212,1014.277099609375,26,0,0,0,0,0.5217089999999871,26,25.634020535426945,20.065730769230274
b5e8f409,1790073138212,1014.506103515625,20,0,0,0.0,0,0.78125,20,19.71402629387135,39.0625
b1269e28,1790073139234,1022.779052734375,20,0,0,0.0,0,1.7944990000000018,20,19.55456552080382,89.72495000000009
1ac2ffac,1790073139234,1022.783935546875,25,0,0,0.0,0,0.6210839999999962,25,24.44309020813148,24.843359999999848
d1f37ed1,1790073139234,1022.777099609375,25,0,0,0,0,0.517823000000007,25,24.443253578466067,20.71292000000028
06e9e5b9,1790073139234,1022.7021484375,25,0,0,0,0,0.5288120000000021,25,24.44504496073992,21.152480000000082
e0606b55,1790073139234,1022.680908203125,25,0,0,0,0,0.566196000000005,25,24.44555266405198,22.6478400000002
c7e22c1f,1790073139234,1022.6669921875,25,0,0,0,0,0.48704500000000905,25,24.44588530869137,19.481800000000362
b5e8f409,1790073139234,1022.326904296875,21,0,0,0.0,0,0.7991640000000046,21,20.541374693100888,38.05542857142879
b1269e28,1790073140247,1011.996826171875,20,0,0,0.0,0,1.6712080000000071,20,19.762907830111367,83.56040000000036
1ac2ffac,1790073140247,1012.088134765625,26,0,0,0.0,0,0.5635120000000029,26,25.689462317450218,21.673538461538573
d1f37ed1,1790073140247,1012.175048828125,25,0,0,0,0,0.4763420000000025,25,24.69928499911599,19.0536800000001
06e9e5b9,1790073140247,1012.23388671875,25,0,0,0,0,0.4708169999999967,25,24.697849309352623,18.83267999999987
e0606b55,1790073140247,1012.300048828125,25,0,0,0,0,0.4888250000000056,25,24.696235102369993,19.553000000000225
c7e22c1f,1790073140247,1012.347900390625,26,0,0,0,0,0.4410670000000039,26,25.682870473646094,16.964115384615532
b5e8f409,1790073140247,1012.43505859375,20,0,1,0.21700000000000008,0,0.7289009999999934,20,19.754353457277112,36.44504999999967
b1269e28,1790073141264,1018.031005859375,21,0,0,0.0,0,1.8573169999999948,21,20.628055411998737,88.44366666666642
1ac2ffac,1790073141264,1017.9150390625,25,0,0,0.0,0,0.562533000000002,25,24.56000652375173,22.501320000000078
d1f37ed1,1790073141264,1017.81591796875,26,0,0,0,0,0.5914049999999946,26,25.54489425935494,22.74634615384595
06e9e5b9,1790073141264,1017.7451171875,26,0,0,0,0,0.559747999999999,26,25.54667132361196,21.528769230769193
e0606b55,1790073141264,1017.6689453125,26,0,0,0,0,0.5262099999999919,26,25.54858347575504,20.23884615384584
c7e22c1f,1790073141264,1017.585205078125,25,0,0,0,0,0.4875380000000007,25,24.56796725742551,19.501520000000028
b5e8f409,1790073141264,1017.4970703125,20,0,0,0.0,0,0.7608409999999992,20,19.656076251755177,38.04204999999996
b1269e28,1790073142277,1011.800048828125,20,0,0,0.0,0,1.641999999999996,20,19.766751368676214,82.0999999999998
1ac2ffac,1790073142277,1011.90283203125,25,0,0,0.0,0,0.543604000000002,25,24.705929471326886,21.74416000000008
d1f37ed1,1790073142277,1011.951904296875,25,0,0,0,0,0.5698430000000059,25,24.70473141445444,22.793720000000235
06e9e5b9,1790073142277,1012.011962890625,25,0,0,0,0,0.515238999999994,25,24.703265294011075,20.60955999999976
e0606b55,1790073142277,1012.109130859375,25,0,0,0,0,0.5460120000000046,25,24.700893646491135,21.840480000000184
c7e22c1f,1790073142277,1012.15380859375,25,0,0,0,0,0.5103579999999965,25,24.699803318167717,20.41431999999986
b5e8f409,1790073142277,1012.23388671875,21,0,0,0.0,0,0.7750790000000052,21,20.7461934198562,36.908523809524056
b1269e28,1790073143296,1019.85302734375,20,0,0,0.0,0,1.7889880000000176,20,19.610668854992607,89.44940000000088
1ac2ffac,1790073143296,1019.7890625,26,0,0,0.0,0,0.6294979999999981,26,25.49546857882681,24.211461538461467
d1f37ed1,1790073143296,1019.774169921875,25,0,0,0,0,0.5442659999999933,25,24.515231643801346,21.77063999999973
06e9e5b9,1790073143296,1019.805908203125,26,0,0,0,0,0.5445310000000063,26,25.49504743094832,20.943500000000242
e0606b55,1790073143296,1019.736083984375,26,0,0,0,0,0.5727289999999954,26,25.49679314907757,22.028038461538284
c7e22c1f,1790073143296,1019.80517578125,26,0,0,0,0,0.49933599999999956,26,25.495065741436328,19.205230769230752
b5e8f409,1790073143296,1019.7451171875,20,0,0,0.0,0,0.7359110000000015,20,19.612744069969995,36.79555000000008
b1269e28,1790073144315,1019.221923828125,21,0,0,0.0,0,1.7662049999999851,21,20.603952396476615,84.1049999999993
1ac2ffac,1790073144315,1019.194091796875,25,0,0,0.0,0,0.5461540000000014,25,24.52918457947899,21.846160000000054
d1f37ed1,1790073144315,1019.156982421875,26,0,0,0,0,0.5925720000000041,26,25.511280841362503,22.79123076923093
06e9e5b9,1790073144315,1019.068115234375,25,0,0,0,0,0.5434920000000005,25,24.53221686192219,21.73968000000002
e0606b55,1790073144315,1019.02685546875,25,0,0,0,0,0.5553699999999964,25,24.533210156174007,22.214799999999855
c7e22c1f,1790073144315,1018.933837890625,25,0,0,0,0,0.5046399999999949,25,24.535449771453724,20.185599999999795
b5e8f409,1790073144315,1018.9228515625,20,0,0,0.0,0,0.7572100000000006,20,19.62857145595504,37.86050000000003
b1269e28,1790073145334,1018.343017578125,20,0,0,0.0,0,1.7645750000000078,20,19.639747761579407,88.22875000000039
1ac2ffac,1790073145334,1018.421875,26,0,0,0.0,0,0.6078569999999957,26,25.529695147209992,23.37911538461522
d1f37ed1,1790073145334,1018.73095703125,26,0,0,0,0,0.6192769999999967,26,25.5219494612869,23.81834615384603
06e9e5b9,1790073145334,1018.81884765625,26,0,0,0,0,0.5831939999999918,26,25.519747754776926,22.430538461538145
e0606b55,1790073145334,1018.864990234375,26,0,0,0,0,0.5930330000000055,26,25.51859201091901,22.808961538461748
c7e22c1f,1790073145334,1018.878173828125,26,0,0,0,0,0.5163670000000025,26,25.51826181761545,19.860269230769326
b5e8f409,1790073145334,1018.887939453125,20,0,0,0.0,0,0.801636000000002,21,19.62924402730171,38.173142857142956
b1269e28,1790073146351,1016.648193359375,21,0,0,0.0,0,1.79135500000001,21,20.656113036121543,85.30261904761953
1ac2ffac,1790073146351,1017.221923828125,25,0,0,0.0,0,0.5439080000000018,25,24.576741234515634,21.756320000000073
d1f37ed1,1790073146351,1017.0478515625,25,0,0,0,0,0.5929950000000019,25,24.580947653143625,23.719800000000077
06e9e5b9,1790073146351,1017.10693359375,25,0,0,0,0,0.5361850000000032,25,24.579519787233533,21.44740000000013
e0606b55,1790073146351,1017.1181640625,25,0,0,0,0,0.5528410000000008,25,24.57924839346768,22.113640000000032
c7e22c1f,1790073146351,1017.0888671875,25,0,0,0,0,0.5118460000000056,25,24.5799563897805,20.473840000000223
b5e8f409,1790073146351,1017.1201171875,21,0,0,0.0,0,0.800021000000001,20,20.646529003937474,40.00105000000005
b1269e28,1790073147365,1015.005859375,20,0,0,0.0,0,1.7864629999999977,20,19.704319748769922,89.32314999999988
1ac2ffac,1790073147365,1014.453125,26,0,0,0.0,0,0.5959229999999991,26,25.62957258375048,22.92011538461535
d1f37ed1,1790073147365,1014.384033203125,25,0,0,0,0,0.5839079999999939,25,24.645498333661056,23.356319999999755
06e9e5b9,1790073147365,1014.260009765625,25,0,0,0,0,0.5716390000000047,25,24.64851197847877,22.865560000000187
e0606b55,1790073147365,1014.220947265625,25,0,0,0,0,0.5615099999999984,25,24.649461310576232,22.460399999999936
c7e22c1f,1790073147365,1014.22607421875,26,0,0,0,0,0.5182469999999881,26,25.63531017483216,19.932576923076468
b5e8f409,1790073147365,1014.221923828125,20,0,0,0.0,0,0.767838999999995,20,19.71955006110605,38.39194999999975
b1269e28,1790073148381,1014.695068359375,20,0,0,0.0,0,1.6283669999999972,20,19.710354986091833,81.41834999999986
1ac2ffac,1790073148381,1014.675048828125,25,0,0,0.0,0,0.5239460000000093,25,24.638429839063413,20.957840000000374
d1f37ed1,1790073148381,1014.650146484375,26,0,0,0,0,0.6049540000000064,26,25.624595916224393,23.267461538461784
06e9e5b9,1790073148381,1014.68408203125,26,0,0,0,0,0.5701839999999976,26,25.623738915812872,21.930153846153754
e0606b55,1790073148381,1014.699951171875,26,0,0,0,0,0.6144000000000034,26,25.6233381798951,23.63076923076936
c7e22c1f,1790073148381,1014.760009765625,25,0,0,0,0,0.5125740000000008,25,24.63636698274516,20.50296000000003
b5e8f409,1790073148381,1014.80615234375,20,0,0,0.0,0,0.7549029999999988,21,19.708197426482794,35.94776190476185
b1269e28,1790073149395,1014.89599609375,20,0,0,0.0,0,1.8164510000000007,21,19.706452756714313,86.4976666666667
1ac2ffac,1790073149395,1014.8759765625,25,0,0,0.0,0,0.612253999999993,25,24.633551859881276,24.49015999999972
d1f37ed1,1790073149395,1014.930908203125,25,0,0,0,0,0.5849779999999924,25,24.632218605166944,23.399119999999698
